country,covid19_first_date,Population_2020,Density_KM2m,Urban_pop_pct,Health_Care_Index,hosp_beds_per_1000_2017,ICU-CCB_beds_per_100000,age_0_to_14_years_percent,age_15_to_64_years_percent,age_over_65_years_percent,sex_male_to_female_total,first_school_closure_date,airport_traffic_2018_thousands,gdp_usd_million
Nigeria,2020-02-28 22:00:00,206139589.0,226,52%,51.59,,,44.0,53.3,2.8,1.04,2020-03-26 00:00:00,8169192.0,446543.0
North Macedonia,2020-02-26 22:00:00,2083374.0,83,59%,56.38,,,23.7,64.4,11.9,,2020-03-11 00:00:00,,12672.0
Norway,2020-02-26 22:00:00,5421241.0,15,83%,74.36,3.6,8.0,17.8,65.4,16.8,1.02,2020-03-12 00:00:00,,417627.0
Oman,2020-02-24 22:00:00,5106626.0,16,87%,58.15,,,21.8,75.8,2.4,1.19,2020-03-15 00:00:00,10438241.0,76609.0
Pakistan,2020-02-26 22:00:00,220892340.0,287,35%,60.59,,,34.8,60.7,4.5,1.06,2020-02-27 00:00:00,6880637.0,284214.0
Panama,2020-03-10 22:00:00,4314767.0,58,68%,59.93,,,27.4,64.7,7.9,1.01,2020-03-12 00:00:00,12939350.0,68536.0
Papua New Guinea,2020-03-20 22:00:00,8947024.0,20,13%,,,,35.9,60.3,3.8,1.04,2020-03-23 00:00:00,964713.0,23587.0
Paraguay,2020-03-08 22:00:00,7132538.0,18,62%,,,,29.4,64.2,6.4,1.01,2020-03-11 00:00:00,560631.0,40714.0
Peru,2020-03-06 22:00:00,32971854.0,26,79%,56.15,,,27.4,65.5,7.2,0.97,2020-03-16 00:00:00,17758527.0,228989.0
Philippines,2020-01-23 12:00:00,109581078.0,368,47%,67.47,,,31.7,63.5,4.8,1.01,2020-03-10 00:00:00,43080118.0,356814.0
Poland,2020-03-04 22:00:00,37846611.0,124,60%,61.01,6.62,6.9,14.8,68.4,16.8,0.94,2020-03-16 00:00:00,9277538.0,565854.0
Portugal,2020-03-02 22:00:00,10196709.0,111,66%,71.88,3.39,4.2,13.6,64.9,21.5,0.96,2020-03-05 00:00:00,17367956.0,236408.0
Qatar,2020-02-29 22:00:00,2881053.0,248,96%,73.3,,,13.9,84.8,1.3,3.41,2020-03-10 00:00:00,29178923.0,191849.0
Romania,2020-02-26 22:00:00,19237691.0,84,55%,55.06,,,15.3,66.9,17.9,0.95,2020-03-11 00:00:00,4908235.0,243698.0
Russia,2020-01-31 19:00:00,145934462.0,9,74%,57.59,8.05,8.3,17.6,68.2,14.2,0.86,2020-03-11 00:00:00,99327311.0,1637892.0
Rwanda,2020-03-14 22:00:00,12952218.0,525,18%,,,,40.1,56.9,3.0,1,2020-03-16 00:00:00,1073528.0,10209.0
Saint Kitts and Nevis,2020-03-25 22:00:00,,,,,,,,,,1,,,
Saint Lucia,2020-03-14 22:00:00,183627.0,301,19%,,,,18.9,71.4,9.7,0.95,2020-03-16 00:00:00,,
